Date,Channel,Chain,Depot,SubCat,SKU,UnitsSold,key
01/01/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0026,1035.0,Retail_FoodBazaar_Harbor Depot_Frozen Foods_PRD0026
01/01/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0014,1176.0,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0014
01/01/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0015,120.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0015
01/01/22,Retail,QuickPick,Uptown Depot,Household,PRD0027,120.0,Retail_QuickPick_Uptown Depot_Household_PRD0027
01/01/22,Online,DailyNeeds,East Depot,Snacks,PRD0004,12420.0,Online_DailyNeeds_East Depot_Snacks_PRD0004
01/01/22,Retail,SuperShop,South Depot,Frozen Foods,PRD0020,135.0,Retail_SuperShop_South Depot_Frozen Foods_PRD0020
01/01/22,Online,FreshMart,North Depot,Dairy,PRD0012,144045.0,Online_FreshMart_North Depot_Dairy_PRD0012
01/01/22,Retail,ValueStore,Central Depot,Personal Care,PRD0024,1536.0,Retail_ValueStore_Central Depot_Personal Care_PRD0024
01/01/22,Online,DailyNeeds,East Depot,Bakery,PRD0016,15552.0,Online_DailyNeeds_East Depot_Bakery_PRD0016
01/01/22,Online,DailyNeeds,East Depot,Bakery,PRD0017,15672.0,Online_DailyNeeds_East Depot_Bakery_PRD0017
01/01/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0015,1776.0,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0015
01/01/22,Online,DailyNeeds,East Depot,Snacks,PRD0005,20700.0,Online_DailyNeeds_East Depot_Snacks_PRD0005
01/01/22,Retail,ValueStore,South Depot,Personal Care,PRD0024,2112.0,Retail_ValueStore_South Depot_Personal Care_PRD0024
01/01/22,Retail,QuickPick,South Depot,Bakery,PRD0016,216.0,Retail_QuickPick_South Depot_Bakery_PRD0016
01/01/22,Online,FreshMart,North Depot,Snacks,PRD0007,225.0,Online_FreshMart_North Depot_Snacks_PRD0007
01/01/22,Retail,QuickPick,South Depot,Bakery,PRD0017,240.0,Retail_QuickPick_South Depot_Bakery_PRD0017
01/01/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0020,2430.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0020
01/01/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0021,315.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0021
01/01/22,Retail,ValueStore,Harbor Depot,Personal Care,PRD0024,32448.0,Retail_ValueStore_Harbor Depot_Personal Care_PRD0024
01/01/22,Retail,FoodBazaar,Downtown Depot,Frozen Foods,PRD0026,360.0,Retail_FoodBazaar_Downtown Depot_Frozen Foods_PRD0026
01/01/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0026,3600.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0026
01/01/22,Retail,FoodBazaar,Downtown Depot,Bakery,PRD0015,384.0,Retail_FoodBazaar_Downtown Depot_Bakery_PRD0015
01/01/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0023,405.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0023
01/01/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0016,48.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0016
01/01/22,Online,DailyNeeds,East Depot,Dairy,PRD0008,510030.0,Online_DailyNeeds_East Depot_Dairy_PRD0008
01/01/22,Retail,FoodBazaar,South Depot,Bakery,PRD0016,552.0,Retail_FoodBazaar_South Depot_Bakery_PRD0016
01/01/22,Retail,FoodBazaar,West Depot,Frozen Foods,PRD0022,585.0,Retail_FoodBazaar_West Depot_Frozen Foods_PRD0022
01/01/22,Online,FreshMart,North Depot,Dairy,PRD0009,61200.0,Online_FreshMart_North Depot_Dairy_PRD0009
01/01/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0026,765.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0026
01/01/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0017,816.0,Retail_FoodBazaar_Harbor Depot_Bakery_PRD0017
01/01/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0022,8280.0,Retail_ValueStore_Harbor Depot_Frozen Foods_PRD0022
01/02/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0016,1032.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0016
01/02/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0026,1080.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0026
01/02/22,Online,FreshMart,North Depot,Dairy,PRD0009,113400.0,Online_FreshMart_North Depot_Dairy_PRD0009
01/02/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0014,1152.0,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0014
01/02/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0020,1170.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0020
01/02/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0023,1215.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0023
01/02/22,Retail,ValueStore,Harbor Depot,Personal Care,PRD0024,15504.0,Retail_ValueStore_Harbor Depot_Personal Care_PRD0024
01/02/22,Retail,SuperShop,South Depot,Frozen Foods,PRD0020,180.0,Retail_SuperShop_South Depot_Frozen Foods_PRD0020
01/02/22,Online,DailyNeeds,East Depot,Snacks,PRD0004,19575.0,Online_DailyNeeds_East Depot_Snacks_PRD0004
01/02/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0026,225.0,Retail_FoodBazaar_Harbor Depot_Frozen Foods_PRD0026
01/02/22,Retail,QuickPick,Downtown Depot,Frozen Foods,PRD0023,225.0,Retail_QuickPick_Downtown Depot_Frozen Foods_PRD0023
01/02/22,Online,FreshMart,North Depot,Snacks,PRD0007,2385.0,Online_FreshMart_North Depot_Snacks_PRD0007
01/02/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0026,2565.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0026
01/02/22,Retail,ValueStore,South Depot,Personal Care,PRD0024,2592.0,Retail_ValueStore_South Depot_Personal Care_PRD0024
01/02/22,Retail,FoodBazaar,Downtown Depot,Frozen Foods,PRD0026,270.0,Retail_FoodBazaar_Downtown Depot_Frozen Foods_PRD0026
01/02/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0022,2925.0,Retail_ValueStore_Harbor Depot_Frozen Foods_PRD0022
01/02/22,Online,DailyNeeds,East Depot,Bakery,PRD0016,29904.0,Online_DailyNeeds_East Depot_Bakery_PRD0016
01/02/22,Online,DailyNeeds,East Depot,Snacks,PRD0005,30510.0,Online_DailyNeeds_East Depot_Snacks_PRD0005
01/02/22,Retail,FoodBazaar,West Depot,Frozen Foods,PRD0022,315.0,Retail_FoodBazaar_West Depot_Frozen Foods_PRD0022
01/02/22,Retail,ValueStore,Downtown Depot,Bakery,PRD0017,336.0,Retail_ValueStore_Downtown Depot_Bakery_PRD0017
01/02/22,Retail,FoodBazaar,South Depot,Household,PRD0030,336.0,Retail_FoodBazaar_South Depot_Household_PRD0030
01/02/22,Retail,FoodBazaar,Harbor Depot,Household,PRD0031,360.0,Retail_FoodBazaar_Harbor Depot_Household_PRD0031
01/02/22,Online,FreshMart,North Depot,Dairy,PRD0012,393525.0,Online_FreshMart_North Depot_Dairy_PRD0012
01/02/22,Online,DailyNeeds,East Depot,Bakery,PRD0017,40920.0,Online_DailyNeeds_East Depot_Bakery_PRD0017
01/02/22,Retail,QuickPick,South Depot,Bakery,PRD0016,480.0,Retail_QuickPick_South Depot_Bakery_PRD0016
01/02/22,Retail,QuickPick,South Depot,Bakery,PRD0017,480.0,Retail_QuickPick_South Depot_Bakery_PRD0017
01/02/22,Retail,ValueStore,Central Depot,Personal Care,PRD0024,4896.0,Retail_ValueStore_Central Depot_Personal Care_PRD0024
01/02/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0020,495.0,Retail_QuickPick_Harbor Depot_Frozen Foods_PRD0020
01/02/22,Retail,FoodBazaar,South Depot,Bakery,PRD0016,528.0,Retail_FoodBazaar_South Depot_Bakery_PRD0016
01/02/22,Retail,QuickPick,Uptown Depot,Household,PRD0027,600.0,Retail_QuickPick_Uptown Depot_Household_PRD0027
01/02/22,Online,DailyNeeds,East Depot,Dairy,PRD0008,606240.0,Online_DailyNeeds_East Depot_Dairy_PRD0008
01/02/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0017,648.0,Retail_FoodBazaar_Harbor Depot_Bakery_PRD0017
01/02/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0015,744.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0015
01/02/22,Retail,SuperShop,Harbor Depot,Frozen Foods,PRD0021,855.0,Retail_SuperShop_Harbor Depot_Frozen Foods_PRD0021
01/02/22,Retail,FoodBazaar,Downtown Depot,Bakery,PRD0015,888.0,Retail_FoodBazaar_Downtown Depot_Bakery_PRD0015
01/02/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0015,960.0,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0015
01/03/22,Retail,FoodBazaar,Downtown Depot,Frozen Foods,PRD0026,135.0,Retail_FoodBazaar_Downtown Depot_Frozen Foods_PRD0026
01/03/22,Retail,FoodBazaar,Harbor Depot,Household,PRD0031,1536.0,Retail_FoodBazaar_Harbor Depot_Household_PRD0031
01/03/22,Retail,FoodBazaar,West Depot,Frozen Foods,PRD0022,1620.0,Retail_FoodBazaar_West Depot_Frozen Foods_PRD0022
01/03/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0020,1665.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0020
01/03/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0023,1755.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0023
01/03/22,Retail,FoodBazaar,Downtown Depot,Bakery,PRD0015,1896.0,Retail_FoodBazaar_Downtown Depot_Bakery_PRD0015
01/03/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0017,1920.0,Retail_FoodBazaar_Harbor Depot_Bakery_PRD0017
01/03/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0026,2115.0,Retail_FoodBazaar_Harbor Depot_Frozen Foods_PRD0026
01/03/22,Retail,SuperShop,Harbor Depot,Bakery,PRD0018,216.0,Retail_SuperShop_Harbor Depot_Bakery_PRD0018
01/03/22,Retail,ValueStore,Harbor Depot,Personal Care,PRD0024,221712.0,Retail_ValueStore_Harbor Depot_Personal Care_PRD0024
01/03/22,Online,FreshMart,North Depot,Dairy,PRD0009,257490.0,Online_FreshMart_North Depot_Dairy_PRD0009
01/03/22,Online,FreshMart,North Depot,Dairy,PRD0012,287370.0,Online_FreshMart_North Depot_Dairy_PRD0012
01/03/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0026,3195.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0026
01/03/22,Online,DailyNeeds,East Depot,Snacks,PRD0004,31950.0,Online_DailyNeeds_East Depot_Snacks_PRD0004
01/03/22,Online,DailyNeeds,East Depot,Dairy,PRD0008,353025.0,Online_DailyNeeds_East Depot_Dairy_PRD0008
01/03/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0015,3696.0,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0015
01/03/22,Retail,FoodBazaar,South Depot,Bakery,PRD0016,3696.0,Retail_FoodBazaar_South Depot_Bakery_PRD0016
01/03/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0014,3816.0,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0014
01/03/22,Retail,SuperShop,South Depot,Frozen Foods,PRD0020,450.0,Retail_SuperShop_South Depot_Frozen Foods_PRD0020
01/03/22,Retail,QuickPick,Downtown Depot,Frozen Foods,PRD0023,450.0,Retail_QuickPick_Downtown Depot_Frozen Foods_PRD0023
01/03/22,Retail,SuperShop,Harbor Depot,Frozen Foods,PRD0021,4590.0,Retail_SuperShop_Harbor Depot_Frozen Foods_PRD0021
01/03/22,Online,FreshMart,North Depot,Snacks,PRD0007,4905.0,Online_FreshMart_North Depot_Snacks_PRD0007
01/03/22,Retail,FoodBazaar,South Depot,Household,PRD0030,504.0,Retail_FoodBazaar_South Depot_Household_PRD0030
01/03/22,Online,DailyNeeds,East Depot,Bakery,PRD0016,50832.0,Online_DailyNeeds_East Depot_Bakery_PRD0016
01/03/22,Online,DailyNeeds,East Depot,Snacks,PRD0005,51345.0,Online_DailyNeeds_East Depot_Snacks_PRD0005
01/03/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0026,5670.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0026
01/03/22,Retail,ValueStore,Downtown Depot,Bakery,PRD0017,576.0,Retail_ValueStore_Downtown Depot_Bakery_PRD0017
01/03/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0015,576.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0015
01/03/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0022,5940.0,Retail_ValueStore_Harbor Depot_Frozen Foods_PRD0022
01/03/22,Retail,ValueStore,South Depot,Personal Care,PRD0024,7488.0,Retail_ValueStore_South Depot_Personal Care_PRD0024
01/03/22,Online,DailyNeeds,East Depot,Bakery,PRD0017,75288.0,Online_DailyNeeds_East Depot_Bakery_PRD0017
01/03/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0020,765.0,Retail_QuickPick_Harbor Depot_Frozen Foods_PRD0020
01/03/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0016,816.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0016
01/03/22,Retail,ValueStore,Central Depot,Personal Care,PRD0024,8544.0,Retail_ValueStore_Central Depot_Personal Care_PRD0024
01/03/22,Retail,QuickPick,South Depot,Bakery,PRD0017,912.0,Retail_QuickPick_South Depot_Bakery_PRD0017
01/03/22,Retail,QuickPick,South Depot,Bakery,PRD0016,96.0,Retail_QuickPick_South Depot_Bakery_PRD0016
01/04/22,Online,DailyNeeds,East Depot,Bakery,PRD0017,104640.0,Online_DailyNeeds_East Depot_Bakery_PRD0017
01/04/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0017,1056.0,Retail_FoodBazaar_Harbor Depot_Bakery_PRD0017
01/04/22,Retail,SuperShop,Harbor Depot,Bakery,PRD0018,1152.0,Retail_SuperShop_Harbor Depot_Bakery_PRD0018
01/04/22,Retail,FoodBazaar,South Depot,Bakery,PRD0016,1272.0,Retail_FoodBazaar_South Depot_Bakery_PRD0016
01/04/22,Online,DailyNeeds,East Depot,Snacks,PRD0004,14490.0,Online_DailyNeeds_East Depot_Snacks_PRD0004
01/04/22,Retail,FoodBazaar,Harbor Depot,Household,PRD0031,1584.0,Retail_FoodBazaar_Harbor Depot_Household_PRD0031
01/04/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0015,1704.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0015
01/04/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0016,1728.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0016
01/04/22,Online,FreshMart,North Depot,Dairy,PRD0009,211770.0,Online_FreshMart_North Depot_Dairy_PRD0009
01/04/22,Online,DailyNeeds,East Depot,Snacks,PRD0005,23760.0,Online_DailyNeeds_East Depot_Snacks_PRD0005
01/04/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0014,2496.0,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0014
01/04/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0023,2610.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0023
01/04/22,Retail,FoodBazaar,Downtown Depot,Bakery,PRD0015,2712.0,Retail_FoodBazaar_Downtown Depot_Bakery_PRD0015
01/04/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0015,2760.0,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0015
01/04/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0026,2835.0,Retail_FoodBazaar_Harbor Depot_Frozen Foods_PRD0026
01/04/22,Retail,SuperShop,South Depot,Frozen Foods,PRD0020,405.0,Retail_SuperShop_South Depot_Frozen Foods_PRD0020
01/04/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0026,405.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0026
01/04/22,Online,FreshMart,North Depot,Snacks,PRD0007,4050.0,Online_FreshMart_North Depot_Snacks_PRD0007
01/04/22,Online,FreshMart,North Depot,Dairy,PRD0012,436905.0,Online_FreshMart_North Depot_Dairy_PRD0012
01/04/22,Retail,QuickPick,Downtown Depot,Frozen Foods,PRD0023,450.0,Retail_QuickPick_Downtown Depot_Frozen Foods_PRD0023
01/04/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0020,450.0,Retail_QuickPick_Harbor Depot_Frozen Foods_PRD0020
01/04/22,Retail,QuickPick,South Depot,Bakery,PRD0016,456.0,Retail_QuickPick_South Depot_Bakery_PRD0016
01/04/22,Retail,ValueStore,Central Depot,Personal Care,PRD0024,5952.0,Retail_ValueStore_Central Depot_Personal Care_PRD0024
01/04/22,Retail,SuperShop,Harbor Depot,Frozen Foods,PRD0021,6480.0,Retail_SuperShop_Harbor Depot_Frozen Foods_PRD0021
01/04/22,Retail,ValueStore,South Depot,Personal Care,PRD0024,6576.0,Retail_ValueStore_South Depot_Personal Care_PRD0024
01/04/22,Retail,FoodBazaar,West Depot,Frozen Foods,PRD0022,720.0,Retail_FoodBazaar_West Depot_Frozen Foods_PRD0022
01/04/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0022,7335.0,Retail_ValueStore_Harbor Depot_Frozen Foods_PRD0022
01/04/22,Online,DailyNeeds,East Depot,Dairy,PRD0008,750240.0,Online_DailyNeeds_East Depot_Dairy_PRD0008
01/04/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0020,765.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0020
01/04/22,Retail,ValueStore,Harbor Depot,Personal Care,PRD0024,77568.0,Retail_ValueStore_Harbor Depot_Personal Care_PRD0024
01/04/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0026,855.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0026
01/04/22,Online,DailyNeeds,East Depot,Bakery,PRD0016,87816.0,Online_DailyNeeds_East Depot_Bakery_PRD0016
01/04/22,Retail,ValueStore,Downtown Depot,Bakery,PRD0017,912.0,Retail_ValueStore_Downtown Depot_Bakery_PRD0017
01/05/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0020,1125.0,Retail_QuickPick_Harbor Depot_Frozen Foods_PRD0020
01/05/22,Retail,FoodBazaar,South Depot,Bakery,PRD0016,1224.0,Retail_FoodBazaar_South Depot_Bakery_PRD0016
01/05/22,Retail,QuickPick,South Depot,Bakery,PRD0017,1224.0,Retail_QuickPick_South Depot_Bakery_PRD0017
01/05/22,Retail,FoodBazaar,South Depot,Household,PRD0030,1248.0,Retail_FoodBazaar_South Depot_Household_PRD0030
01/05/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0020,1260.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0020
01/05/22,Retail,ValueStore,Harbor Depot,Personal Care,PRD0024,155472.0,Retail_ValueStore_Harbor Depot_Personal Care_PRD0024
01/05/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0014,1704.0,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0014
01/05/22,Online,DailyNeeds,East Depot,Snacks,PRD0004,17100.0,Online_DailyNeeds_East Depot_Snacks_PRD0004
01/05/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0023,1800.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0023
01/05/22,Retail,QuickPick,South Depot,Bakery,PRD0016,1824.0,Retail_QuickPick_South Depot_Bakery_PRD0016
01/05/22,Online,FreshMart,North Depot,Dairy,PRD0009,186075.0,Online_FreshMart_North Depot_Dairy_PRD0009
01/05/22,Retail,FoodBazaar,Harbor Depot,Household,PRD0031,1872.0,Retail_FoodBazaar_Harbor Depot_Household_PRD0031
