Date,Channel,Chain,Depot,SubCat,SKU,UnitsSold
01/01/22,Retail,ValueStore,West Depot,Personal Care,PRD0024,1008
01/01/22,Online,FreshMart,North Depot,Snacks,PRD0006,1035
01/01/22,Retail,FoodBazaar,South Depot,Frozen Foods,PRD0023,1035
01/01/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0026,1035
01/01/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0015,1056
01/01/22,Retail,ValueStore,South Depot,Produce,PRD0019,11040
01/01/22,Online,DailyNeeds,East Depot,Bakery,PRD0014,11160
01/01/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0016,1128
01/01/22,Retail,ValueStore,Downtown Depot,Frozen Foods,PRD0023,1170
01/01/22,Retail,FoodBazaar,Uptown Depot,Frozen Foods,PRD0026,1170
01/01/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0023,1170
01/01/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0014,1176
01/01/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0015,120
01/01/22,Retail,QuickPick,Uptown Depot,Household,PRD0027,120
01/01/22,Retail,QuickPick,Harbor Depot,Household,PRD0027,120
01/01/22,Retail,QuickPick,Harbor Depot,Household,PRD0028,120
01/01/22,Online,DailyNeeds,East Depot,Snacks,PRD0004,12420
01/01/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0017,1248
01/01/22,Retail,SuperShop,South Depot,Frozen Foods,PRD0020,135
01/01/22,Retail,ValueStore,Central Depot,Snacks,PRD0004,135
01/01/22,Retail,QuickPick,Uptown Depot,Frozen Foods,PRD0023,135
01/01/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0026,135
01/01/22,Retail,ValueStore,Uptown Depot,Snacks,PRD0004,1350
01/01/22,Retail,FoodBazaar,West Depot,Household,PRD0028,142.08
01/01/22,Retail,ValueStore,Downtown Depot,Personal Care,PRD0024,144
01/01/22,Retail,ValueStore,Uptown Depot,Bakery,PRD0017,1440
01/01/22,Online,FreshMart,North Depot,Dairy,PRD0012,144045
01/01/22,Retail,ValueStore,South Depot,Snacks,PRD0007,1485
01/01/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0023,1485
01/01/22,Online,DailyNeeds,East Depot,Snacks,PRD0006,15210
01/01/22,Online,FreshMart,North Depot,Snacks,PRD0002,1530
01/01/22,Retail,ValueStore,Central Depot,Personal Care,PRD0024,1536
01/01/22,Online,DailyNeeds,East Depot,Bakery,PRD0016,15552
01/01/22,Online,DailyNeeds,East Depot,Bakery,PRD0017,15672
01/01/22,Retail,SuperShop,West Depot,Frozen Foods,PRD0022,1620
01/01/22,Retail,ValueStore,Uptown Depot,Snacks,PRD0007,1620
01/01/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0022,1620
01/01/22,Retail,ValueStore,West Depot,Bakery,PRD0016,168
01/01/22,Retail,FoodBazaar,West Depot,Bakery,PRD0017,168
01/01/22,Retail,ValueStore,Harbor Depot,Bakery,PRD0016,1680
01/01/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0018,1680
01/01/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0018,1704
01/01/22,Retail,ValueStore,Central Depot,Frozen Foods,PRD0026,1710
01/01/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0022,1755
01/01/22,Online,DailyNeeds,East Depot,Bakery,PRD0015,17712
01/01/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0015,1776
01/01/22,Online,FreshMart,North Depot,Dairy,PRD0010,179550
01/01/22,Retail,QuickPick,South Depot,Frozen Foods,PRD0023,180
01/01/22,Retail,ValueStore,South Depot,Bakery,PRD0014,1824
01/01/22,Online,FreshMart,North Depot,Snacks,PRD0003,1845
01/01/22,Retail,ValueStore,Harbor Depot,Bakery,PRD0014,1848
01/01/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0014,1872
01/01/22,Online,DailyNeeds,East Depot,Snacks,PRD0007,19080
01/01/22,Retail,FoodBazaar,Downtown Depot,Bakery,PRD0016,192
01/01/22,Retail,FoodBazaar,Downtown Depot,Household,PRD0028,192
01/01/22,Retail,FoodBazaar,West Depot,Bakery,PRD0016,192
01/01/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0017,192
01/01/22,Retail,QuickPick,Uptown Depot,Produce,PRD0019,1920
01/01/22,Retail,ValueStore,Central Depot,Frozen Foods,PRD0022,1980
01/01/22,Online,DailyNeeds,East Depot,Snacks,PRD0005,20700
01/01/22,Retail,ValueStore,South Depot,Personal Care,PRD0024,2112
01/01/22,Retail,ValueStore,Harbor Depot,Bakery,PRD0017,2112
01/01/22,Retail,FoodBazaar,Uptown Depot,Frozen Foods,PRD0023,2114.1
01/01/22,Retail,ValueStore,South Depot,Bakery,PRD0016,2136
01/01/22,Online,DailyNeeds,East Depot,Dairy,PRD0013,215955
01/01/22,Retail,FoodBazaar,Uptown Depot,Household,PRD0028,216
01/01/22,Retail,QuickPick,South Depot,Bakery,PRD0016,216
01/01/22,Retail,ValueStore,Central Depot,Frozen Foods,PRD0023,2160
01/01/22,Retail,ValueStore,Central Depot,Bakery,PRD0016,2232
01/01/22,Online,FreshMart,North Depot,Snacks,PRD0007,225
01/01/22,Retail,ValueStore,West Depot,Snacks,PRD0004,225
01/01/22,Retail,QuickPick,Uptown Depot,Frozen Foods,PRD0021,225
01/01/22,Retail,QuickPick,South Depot,Frozen Foods,PRD0022,225
01/01/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0025,225
01/01/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0023,225
01/01/22,Retail,ValueStore,Central Depot,Bakery,PRD0014,2376
01/01/22,Online,FreshMart,North Depot,Dairy,PRD0011,238950
01/01/22,Retail,QuickPick,Uptown Depot,Household,PRD0028,24
01/01/22,Retail,FoodBazaar,West Depot,Bakery,PRD0014,240
01/01/22,Retail,QuickPick,South Depot,Bakery,PRD0014,240
01/01/22,Retail,QuickPick,South Depot,Bakery,PRD0017,240
01/01/22,Retail,QuickPick,South Depot,Bakery,PRD0018,240
01/01/22,Retail,QuickPick,Harbor Depot,Bakery,PRD0016,240
01/01/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0020,2430
01/01/22,Retail,FoodBazaar,South Depot,Produce,PRD0019,24954
01/01/22,Online,FreshMart,North Depot,Dairy,PRD0013,25065
01/01/22,Online,DailyNeeds,East Depot,Bakery,PRD0018,25872
01/01/22,Retail,ValueStore,Uptown Depot,Personal Care,PRD0024,2592
01/01/22,Retail,FoodBazaar,South Depot,Household,PRD0027,264
01/01/22,Retail,FoodBazaar,Downtown Depot,Household,PRD0027,264
01/01/22,Retail,QuickPick,South Depot,Bakery,PRD0015,264
01/01/22,Retail,QuickPick,Harbor Depot,Bakery,PRD0014,264
01/01/22,Retail,ValueStore,Downtown Depot,Snacks,PRD0007,270
01/01/22,Retail,ValueStore,West Depot,Snacks,PRD0007,270
01/01/22,Retail,QuickPick,South Depot,Frozen Foods,PRD0020,270
01/01/22,Retail,QuickPick,South Depot,Frozen Foods,PRD0026,270
01/01/22,Retail,ValueStore,Uptown Depot,Frozen Foods,PRD0026,2700
01/01/22,Retail,ValueStore,Uptown Depot,Frozen Foods,PRD0020,2790
01/01/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0020,2790
01/01/22,Retail,SuperShop,South Depot,Produce,PRD0019,2880
01/01/22,Retail,ValueStore,Harbor Depot,Snacks,PRD0005,2880
01/01/22,Retail,FoodBazaar,Harbor Depot,Produce,PRD0019,30744
01/01/22,Online,DailyNeeds,East Depot,Snacks,PRD0002,31095
01/01/22,Retail,FoodBazaar,Downtown Depot,Bakery,PRD0017,312
01/01/22,Retail,SuperShop,South Depot,Frozen Foods,PRD0021,315
01/01/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0021,315
01/01/22,Retail,FoodBazaar,Downtown Depot,Frozen Foods,PRD0023,315
01/01/22,Retail,FoodBazaar,West Depot,Frozen Foods,PRD0023,315
01/01/22,Retail,QuickPick,South Depot,Frozen Foods,PRD0025,315
01/01/22,Retail,QuickPick,South Depot,Frozen Foods,PRD0021,315
01/01/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0022,315
01/01/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0021,315
01/01/22,Retail,ValueStore,Uptown Depot,Bakery,PRD0014,3216
01/01/22,Retail,ValueStore,Harbor Depot,Personal Care,PRD0024,32448
01/01/22,Retail,ValueStore,Downtown Depot,Bakery,PRD0014,3264
01/01/22,Retail,ValueStore,West Depot,Bakery,PRD0017,336
01/01/22,Retail,FoodBazaar,Downtown Depot,Bakery,PRD0014,336
01/01/22,Retail,FoodBazaar,West Depot,Bakery,PRD0018,336
01/01/22,Retail,QuickPick,Harbor Depot,Bakery,PRD0015,336
01/01/22,Retail,QuickPick,Harbor Depot,Bakery,PRD0017,336
01/01/22,Retail,ValueStore,Uptown Depot,Frozen Foods,PRD0025,3375
01/01/22,Retail,FoodBazaar,Downtown Depot,Frozen Foods,PRD0026,360
01/01/22,Retail,FoodBazaar,West Depot,Bakery,PRD0015,360
01/01/22,Retail,FoodBazaar,West Depot,Household,PRD0027,360
01/01/22,Retail,QuickPick,Harbor Depot,Produce,PRD0019,360
01/01/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0026,3600
